top - 16:12:02 up  1:46,  4 users,  load average: 0.31, 0.37, 0.29
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  8.3 sy,  0.0 ni, 87.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    216.2 free,   2251.5 used,   1188.5 buff/cache     
MiB Swap:   3530.0 total,   3294.3 free,    235.7 used.   1103.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1275 root      20   0  311108   6976   6464 S   0.0   0.2   0:00.04 switche+
   1286 root      20   0   19016   8284   7900 S   0.0   0.2   0:00.32 systemd+
   1287 root      20   0  470960  12772  10084 S   0.0   0.4   0:00.36 udisksd
   1311 avahi     20   0    6608   1220   1088 S   0.0   0.0   0:00.00 avahi-d+
   1338 root      20   0   18416   4148   4020 S   0.0   0.1   0:00.06 wpa_sup+
   1345 syslog    20   0  220732   4812   4044 S   0.0   0.1   0:00.14 rsyslogd
   1394 root      20   0  391392  12468  10420 S   0.0   0.4   0:00.08 ModemMa+
   1555 root      20   0   33176   8792   7512 S   0.0   0.3   0:00.02 cupsd
   1561 root      20   0  123968  18488   8288 S   0.0   0.5   0:00.06 unatten+
   1682 root      20   0  340312  13184  11904 S   0.0   0.4   0:00.60 Network+
   1772 cups-br+  20   0  209364  14732  11788 S   0.0   0.4   0:00.04 cups-br+
   1868 root      20   0  313452   8604   8092 S   0.0   0.3   0:00.02 gdm3
   1910 rtkit     21   1   21860   3276   3148 S   0.0   0.1   0:00.14 rtkit-d+
   1986 colord    20   0  319304  13840   9360 S   0.0   0.4   0:00.09 colord
   2039 root      20   0  321680   9604   8196 S   0.0   0.3   0:00.05 upowerd
   2432 root      20   0  175980  10084   9188 S   0.0   0.3   0:00.02 gdm-ses+
   2494 dev-moo+  20   0   23868  13964  10636 S   0.0   0.4   0:01.00 systemd
   2495 dev-moo+  20   0   22476   2724   1760 S   0.0   0.1   0:00.00 (sd-pam)
   2509 dev-moo+  20   0    7776   3448   3320 S   0.0   0.1   0:00.01 mpris-p+
   2510 dev-moo+   9 -11  174208  11248   8500 S   0.0   0.3   0:35.38 pipewire
   2512 dev-moo+  20   0   88096   4468   4340 S   0.0   0.1   0:00.00 pipewire
   2514 dev-moo+   9 -11  483556  13844  10772 S   0.0   0.4   0:00.24 wireplu+
   2515 dev-moo+   9 -11  188648  14592  10688 S   0.0   0.4   0:00.28 pipewir+
   2517 dev-moo+  20   0  186496   8692   8180 S   0.0   0.3   0:00.04 gnome-k+
   2518 dev-moo+  20   0   10284   6532   4356 S   0.0   0.2   0:00.85 dbus-da+
   2542 dev-moo+  20   0  609568   6976   6464 S   0.0   0.2   0:00.03 xdg-doc+
   2553 dev-moo+  20   0  310608   6136   5880 S   0.0   0.2   0:00.00 xdg-per+
   2561 root      20   0    2772   2024   2024 S   0.0   0.1   0:00.00 fusermo+
   2663 dev-moo+  20   0  170880   5992   5864 S   0.0   0.2   0:00.00 gdm-way+
   2667 dev-moo+  20   0  198716   9652   9524 S   0.0   0.3   0:00.02 gnome-s+
   2765 dev-moo+  20   0   97716   6196   5940 S   0.0   0.2   0:00.00 gcr-ssh+
   2766 dev-moo+  20   0   90120   5244   4988 S   0.0   0.2   0:00.00 gnome-s+
   2777 dev-moo+  20   0  315584   7112   6728 S   0.0   0.2   0:00.01 gvfsd
   2786 dev-moo+  20   0  394956   6800   6800 S   0.0   0.2   0:00.00 gvfsd-f+
   2813 dev-moo+  20   0  830608  12172  10380 S   0.0   0.4   0:00.07 gnome-s+
   2839 dev-moo+  20   0  381472   7520   6880 S   0.0   0.2   0:00.00 at-spi-+
   2840 dev-moo+  20   0 3890056 199808  66612 S   0.0   5.8   4:01.63 gnome-s+
   2851 dev-moo+  20   0    8888   4988   4476 S   0.0   0.1   0:00.02 dbus-da+
   2876 dev-moo+  20   0  169120   6756   6116 S   0.0   0.2   0:00.00 at-spi2+
   2886 dev-moo+  20   0  660224  16864  14240 S   0.0   0.5   0:00.04 gnome-s+
   2905 dev-moo+  20   0 1092900  34264  25688 S   0.0   1.0   0:00.10 evoluti+
   2906 dev-moo+  20   0  165316   5844   5716 S   0.0   0.2   0:00.01 dconf-s+
   2910 dev-moo+  20   0 2733636  18400  13700 S   0.0   0.5   0:00.04 gjs
   2914 dev-moo+  20   0  388372   8948   7252 S   0.0   0.3   0:22.08 ibus-da+
   2915 dev-moo+  20   0  245048   6492   6364 S   0.0   0.2   0:00.00 gsd-a11+
   2916 dev-moo+  20   0  413916  14336  12800 S   0.0   0.4   0:00.08 gsd-col+
   2917 dev-moo+  20   0  257028   7808   7680 S   0.0   0.2   0:00.00 gsd-dat+
   2918 dev-moo+  20   0  386304   8424   7400 S   0.0   0.2   0:00.19 gsd-hou+
   2919 dev-moo+  20   0  412452  14180  12772 S   0.0   0.4   0:00.04 gsd-key+
   2920 dev-moo+  20   0  581260  17376  15200 S   0.0   0.5   0:00.13 gsd-med+
   2921 dev-moo+  20   0  489632  15748  13956 S   0.0   0.5   0:00.06 gsd-pow+
   2922 dev-moo+  20   0  323548   8912   8400 S   0.0   0.3   0:00.02 gsd-pri+
   2923 dev-moo+  20   0  458268   6600   6472 S   0.0   0.2   0:00.00 gsd-rfk+
   2924 dev-moo+  20   0  310352   6340   6212 S   0.0   0.2   0:00.00 gsd-scr+
   2925 dev-moo+  20   0  469048   8656   8016 S   0.0   0.3   0:00.01 gsd-sha+
   2926 dev-moo+  20   0  386760   6952   6696 S   0.0   0.2   0:00.00 gsd-sma+
   2927 dev-moo+  20   0  257512   8176   7920 S   0.0   0.2   0:00.00 gsd-sou+
   2928 dev-moo+  20   0  414068  15456  13024 S   0.0   0.4   0:00.05 gsd-wac+
   2972 dev-moo+  20   0  306564   7476   6324 S   0.0   0.2   0:00.01 gsd-dis+
   2986 dev-moo+  20   0  840324  46748  34716 S   0.0   1.4   0:00.19 evoluti+
   3089 dev-moo+  20   0  463668  10308   9156 S   0.0   0.3   0:00.09 gvfs-ud+
   3108 dev-moo+  20   0  417768   9436   8668 S   0.0   0.3   0:00.00 gsd-pri+
   3120 dev-moo+  20   0  522884  16028  12444 S   0.0   0.5   0:00.02 goa-dae+
   3126 dev-moo+  20   0  310520   6472   6216 S   0.0   0.2   0:00.01 gvfs-go+
   3134 dev-moo+  20   0  895568  17836  15148 S   0.0   0.5   0:00.06 evoluti+
   3150 dev-moo+  20   0  390648   8316   7292 S   0.0   0.2   0:00.02 goa-ide+
   3156 dev-moo+  20   0  392508   7724   7468 S   0.0   0.2   0:00.47 gvfs-af+
   3167 dev-moo+  20   0  311640   6892   6508 S   0.0   0.2   0:00.01 gvfs-gp+
   3170 dev-moo+  20   0  828036  22184  19240 S   0.0   0.6   0:00.04 evoluti+
   3173 dev-moo+  20   0  171676   6324   6196 S   0.0   0.2   0:00.01 gvfsd-m+
   3185 dev-moo+  20   0  245720   7176   7048 S   0.0   0.2   0:00.00 ibus-dc+
   3186 dev-moo+  20   0  424180  25280  13420 S   0.0   0.7   0:03.35 ibus-ex+
   3193 dev-moo+  20   0  310664   6828   6444 S   0.0   0.2   0:00.01 gvfs-mt+
   3196 dev-moo+  20   0  311220   7716   7076 S   0.0   0.2   0:00.01 ibus-po+
   3236 dev-moo+  20   0  172024   7696   7056 S   0.0   0.2   0:08.11 ibus-en+
   3265 dev-moo+  20   0  537052   7924   7412 S   0.0   0.2   0:00.02 gvfsd-t+
   3286 dev-moo+  39  19  735600  23292  14868 S   0.0   0.7   0:00.32 localse+
   3331 dev-moo+  20   0 2733708  18524  13704 S   0.0   0.5   0:00.04 gjs
   3381 dev-moo+  20   0   39128  11548  10140 S   0.0   0.3   0:00.08 snapd-d+
   3393 dev-moo+  20   0  771628  14192  12016 S   0.0   0.4   0:00.27 xdg-des+
   3394 root      20   0  312252   6888   6632 S   0.0   0.2   0:00.01 ubuntu-+
   3434 dev-moo+  20   0  752476  19868  13496 S   0.0   0.6   0:00.24 xdg-des+
   3498 dev-moo+  20   0 2923572  42540  28868 S   0.0   1.2   0:02.75 gjs
   3603 dev-moo+  20   0  429584  25872  17148 S   0.0   0.8   0:00.22 snapd-d+
   3650 dev-moo+  20   0  418376  17536  13184 S   0.0   0.5   0:00.09 xdg-des+
   3672 root      20   0  312488   6684   6428 S   0.0   0.2   0:00.02 power-p+
   3706 dev-moo+  20   0  237308  25680   6864 S   0.0   0.7   0:00.18 Xwayland
   3710 dev-moo+  20   0  479936  28156  14196 S   0.0   0.8   0:00.13 gsd-xse+
   3716 dev-moo+  20   0  727584  35048  14952 S   0.0   1.0   0:00.14 mutter-+
   3737 dev-moo+  20   0  179404  10336   8928 S   0.0   0.3   0:00.00 ibus-x11
   3848 dev-moo+  20   0  569428  20420  16452 S   0.0   0.6   0:00.35 update-+
   3956 dev-moo+  20   0  709008  41644  27960 S   0.0   1.2   0:39.83 gnome-t+
   3964 dev-moo+  20   0   12000   4816   4048 S   0.0   0.1   0:00.10 bash
   4379 root      20   0  485624  34308  28272 S   0.0   1.0   0:01.33 fwupd
   4396 root      20   0   13384   5460   4824 S   0.0   0.2   0:00.03 su
   4399 dev-luke  20   0   23168  12828  10268 S   0.0   0.4   0:00.46 systemd
   4400 dev-luke  20   0   22472   1952   1760 S   0.0   0.1   0:00.00 (sd-pam)
   4414 dev-luke  20   0    7776   3464   3336 S   0.0   0.1   0:00.00 mpris-p+
   4415 dev-luke  20   0   12096   4348   4092 S   0.0   0.1   0:00.01 bash
   4416 dev-luke  20   0   99824   5892   5380 S   0.0   0.2   0:00.00 pipewire
   4419 dev-luke  20   0   88096   4724   4468 S   0.0   0.1   0:00.00 pipewire
